,L0_aRoom  r0,L0_aRoom  r0 bRoom  r0,L0_aRoom  r0 bRoom  r1,L0_aRoom  r0 bRoom  r2,L0_aRoom  r1,L0_aRoom  r1 bRoom  r0,L0_aRoom  r1 bRoom  r1,L0_aRoom  r1 bRoom  r2,L0_aRoom  r2,L0_aRoom  r2 bRoom  r0,L0_aRoom  r2 bRoom  r1,L0_aRoom  r2 bRoom  r2,L0_bRoom  r0,L0_bRoom  r1,L0_bRoom  r2,L1_aReg  d0,L1_aReg  d0 bReg  d0,L1_aReg  d0 bReg  d1,L1_aReg  d0 bReg  r0,L1_aReg  d0 bReg  r1,L1_aReg  d0 bReg  r2,L1_aReg  d1,L1_aReg  d1 bReg  d0,L1_aReg  d1 bReg  d1,L1_aReg  d1 bReg  r0,L1_aReg  d1 bReg  r1,L1_aReg  d1 bReg  r2,L1_aReg  r0,L1_aReg  r0 bReg  d0,L1_aReg  r0 bReg  d1,L1_aReg  r0 bReg  r0,L1_aReg  r0 bReg  r1,L1_aReg  r0 bReg  r2,L1_aReg  r1,L1_aReg  r1 bReg  d0,L1_aReg  r1 bReg  d1,L1_aReg  r1 bReg  r0,L1_aReg  r1 bReg  r1,L1_aReg  r1 bReg  r2,L1_aReg  r2,L1_aReg  r2 bReg  d0,L1_aReg  r2 bReg  d1,L1_aReg  r2 bReg  r0,L1_aReg  r2 bReg  r1,L1_aReg  r2 bReg  r2,L1_bReg  d0,L1_bReg  d1,L1_bReg  r0,L1_bReg  r1,L1_bReg  r2,L2_aReg  r0,L2_aReg  r0 bReg  r0,L2_aReg  r0 bReg  r1,L2_aReg  r0 bReg  r2,L2_aReg  r1,L2_aReg  r1 bReg  r0,L2_aReg  r1 bReg  r1,L2_aReg  r1 bReg  r2,L2_aReg  r2,L2_aReg  r2 bReg  r0,L2_aReg  r2 bReg  r1,L2_aReg  r2 bReg  r2,L2_bReg  r0,L2_bReg  r1,L2_bReg  r2
L2_aReg  r0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_aReg  r0 bReg  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2_aReg  r0 bReg  r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2_aReg  r0 bReg  r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2_aReg  r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6666666667,0.0,0.0,0.0,66.6666666667,0.0,0.0,16.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_aReg  r1 bReg  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2_aReg  r1 bReg  r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2_aReg  r1 bReg  r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_aReg  r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2_aReg  r2 bReg  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2_aReg  r2 bReg  r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
L2_aReg  r2 bReg  r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2_bReg  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2_bReg  r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
L2_bReg  r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09090909091,0.0,0.0,0.0,0.0,0.0,0.0,90.9090909091
